@Version:0.9.1
@SampleID:gsa

@@SEQUENCEID	BINID	TAXID	_LENGTH
RH|P|C37126	Sample6_89	45202	25096
RH|P|C3274	Sample9_91	32644	10009
RH|P|C26099	1053046	765201	689201
RH|P|C35075	1053046	765201	173282
RH|P|C20873	1053046	765201	339258
RH|P|C15719	1053046	765201	402441
RH|P|C2174	1053046	765201	379555
RH|P|C40674	1053046	765201	353488
RH|P|C25281	1053046	765201	336723
RH|P|C5866	1053046	765201	313646
RH|P|C20746	1053046	765201	243429
RH|P|C21402	1053046	765201	50985
RH|P|C28625	1053046	765201	272728
RH|P|C37561	1053046	765201	268977
RH|P|C5284	1053046	765201	266748
RH|P|C38042	1053046	765201	230169
RH|P|C13686	1053046	765201	220461
RH|P|C40105	1053046	765201	212024
RH|P|C39789	1053046	765201	208319
RH|P|C5541	1053046	765201	130638
RH|P|C9819	1053046	765201	107736
RH|P|C38965	1053046	765201	67257
RH|P|C22068	1053046	765201	51196
RH|P|C2330	1053046	765201	30269
RH|P|C16265	1053046	765201	24189
RH|P|C34261	1053046	765201	3237
RH|P|C32023	1053046	765201	2360
RH|P|C6265	1053046	765201	2006
RH|P|C39515	Sample18_1	45202	84506
RH|P|C22810	1049023	591202	381996
RH|P|C17516	1049023	591202	13516
RH|P|C40251	1049023	591202	37519
RH|P|C27074	1049023	591202	51293
RH|P|C36492	1049023	591202	95771
RH|P|C27684	1049023	591202	188025
RH|P|C23433	1049023	591202	311210
RH|P|C6686	1049023	591202	61482
RH|P|C929	1049023	591202	210035
RH|P|C39972	1049023	591202	21445
RH|P|C17104	1049023	591202	105963
RH|P|C41983	1049023	591202	49402
RH|P|C4682	1049023	591202	15136
RH|P|C4864	1049023	591202	69209
RH|P|C17902	1049023	591202	31102
RH|P|C24496	1049023	591202	264165
RH|P|C22570	1049023	591202	155719
RH|P|C4785	1049023	591202	80848
RH|P|C29690	1049023	591202	205597
RH|P|C23760	1049023	591202	190521
RH|P|C18862	1049023	591202	7305
RH|P|C35155	1049023	591202	84492
RH|P|C14834	1049023	591202	20274
RH|P|C39557	1049023	591202	76722
RH|P|C19227	1049023	591202	9754
RH|P|C6460	1049023	591202	71963
RH|P|C484	1049023	591202	92492
RH|P|C3031	1049023	591202	105614
RH|P|C31058	1049023	591202	59074
RH|P|C32208	1049023	591202	160827
RH|P|C7239	1049023	591202	160602
RH|P|C2708	1049023	591202	12676
RH|P|C26449	1049023	591202	46871
RH|P|C39068	1049023	591202	77614
RH|P|C37997	1049023	591202	7560
RH|P|C20958	1049023	591202	130377
RH|P|C41987	1049023	591202	116218
RH|P|C40412	1049023	591202	104745
RH|P|C11921	1049023	591202	24678
RH|P|C36059	1049023	591202	79185
RH|P|C6109	1049023	591202	104026
RH|P|C31328	1049023	591202	95824
RH|P|C39901	1049023	591202	94578
RH|P|C19366	1049023	591202	85150
RH|P|C40376	1049023	591202	6825
RH|P|C1616	1049023	591202	88114
RH|P|C9245	1049023	591202	87635
RH|P|C7330	1049023	591202	86854
RH|P|C14982	1049023	591202	2093
RH|P|C966	1049023	591202	73031
RH|P|C32952	1049023	591202	72206
RH|P|C27306	1049023	591202	71768
RH|P|C9910	1049023	591202	45055
RH|P|C5126	1049023	591202	25526
RH|P|C26269	1049023	591202	67909
RH|P|C19611	1049023	591202	66895
RH|P|C41996	1049023	591202	61446
RH|P|C16339	1049023	591202	59366
RH|P|C35279	1049023	591202	20828
RH|P|C27244	1049023	591202	29433
RH|P|C9807	1049023	591202	6643
RH|P|C37220	1049023	591202	57661
RH|P|C7826	1049023	591202	56866
RH|P|C21835	1049023	591202	53174
RH|P|C24413	1049023	591202	25569
RH|P|C19885	1049023	591202	16177
RH|P|C5253	1049023	591202	10217
RH|P|C4673	1049023	591202	21883
RH|P|C26974	1049023	591202	23198
RH|P|C28586	1049023	591202	13703
RH|P|C21741	1049023	591202	27792
RH|P|C20829	1049023	591202	38878
RH|P|C25055	1049023	591202	35396
RH|P|C15193	1049023	591202	32223
RH|P|C509	1049023	591202	30465
RH|P|C34204	1049023	591202	26201
RH|P|C40	1049023	591202	5474
RH|P|C27552	1049023	591202	19528
RH|P|C10453	1049023	591202	21905
RH|P|C29193	1049023	591202	21769
RH|P|C5520	1049023	591202	20785
RH|P|C23414	1049023	591202	5667
RH|P|C13755	1049023	591202	9166
RH|P|C2072	1049023	591202	13257
RH|P|C12154	1049023	591202	12301
RH|P|C28357	1049023	591202	12025
RH|P|C8813	1049023	591202	10118
RH|P|C32102	1049023	591202	9304
RH|P|C20844	1049023	591202	7613
RH|P|C22752	1049023	591202	7460
RH|P|C25882	1049023	591202	5680
RH|P|C32017	1049023	591202	5211
RH|P|C11272	1049023	591202	3736
RH|P|C15146	1049023	591202	2768
RH|P|C272	1049023	591202	2417
RH|P|C3286	1049023	591202	2323
RH|P|C9509	1049023	591202	2214
RH|P|C8582	1049023	591202	2219
RH|P|C39698	1049023	591202	1899
RH|P|C1953	1049023	591202	1812
RH|P|C26316	1049023	591202	1252
RH|P|C29499	1049023	591202	1149
RH|P|C33848	1049023	591202	1170
RH|P|C29388	1286_AN	33882	1008
RH|P|C2692	1286_AN	33882	872370
RH|P|C15928	1286_AN	33882	738
RH|P|C12327	1286_AN	33882	257
RH|P|C20578	1286_AN	33882	241
RH|P|C29603	1286_AN	33882	564642
RH|P|C18400	1286_AN	33882	279
RH|P|C16681	1286_AN	33882	205064
RH|P|C36851	1286_AN	33882	439
RH|P|C33105	1286_AN	33882	5495
RH|P|C35398	1286_AN	33882	625836
RH|P|C18561	1286_AN	33882	218071
RH|P|C11217	1286_AN	33882	391520
RH|P|C5666	1286_AN	33882	1049
RH|P|C15090	1286_AN	33882	336283
RH|P|C6493	1286_AN	33882	112514
RH|P|C11718	1286_AN	33882	102565
RH|P|C38227	1286_AN	33882	87776
RH|P|C5745	1286_AN	33882	7109
RH|P|C17134	1220_CI	33882	5844
RH|P|C18973	1220_CI	33882	323752
RH|P|C12094	1220_CI	33882	210944
RH|P|C5525	1220_CI	33882	73388
RH|P|C7163	1220_CI	33882	9157
RH|P|C28831	1220_CI	33882	344647
RH|P|C30767	1220_CI	33882	64553
RH|P|C34742	1220_CI	33882	140589
RH|P|C14567	1220_CI	33882	144608
RH|P|C2894	1220_CI	33882	417972
RH|P|C32474	1220_CI	33882	441
RH|P|C35380	1220_CI	33882	82229
RH|P|C39067	1220_CI	33882	186280
RH|P|C22460	1220_CI	33882	65997
RH|P|C41386	1220_CI	33882	225023
RH|P|C34966	1220_CI	33882	18609
RH|P|C17120	1220_CI	33882	162342
RH|P|C32052	1220_CI	33882	289830
RH|P|C3762	1220_CI	33882	212943
RH|P|C14585	1220_CI	33882	1738
RH|P|C14835	1220_CI	33882	37276
RH|P|C38815	1220_CI	33882	127132
RH|P|C17151	1220_CI	33882	80512
RH|P|C41656	1220_CI	33882	75005
RH|P|C31759	1220_CI	33882	35649
RH|P|C15470	1220_CI	33882	204355
RH|P|C2383	1220_CI	33882	2180
RH|P|C2185	1220_CI	33882	1928
RH|P|C13111	Sample9_119	32644	8627
RH|P|C26132	1030947	1449332	629361
RH|P|C720	1030947	1449332	301912
RH|P|C14351	1030947	1449332	653843
RH|P|C13205	1030947	1449332	483414
RH|P|C36536	1030947	1449332	367767
RH|P|C27768	1030947	1449332	286939
RH|P|C33151	1030947	1449332	275025
RH|P|C37550	1030947	1449332	249895
RH|P|C6313	1030947	1449332	13383
RH|P|C24331	1030947	1449332	87200
RH|P|C39118	1030947	1449332	154363
RH|P|C37619	1030947	1449332	227190
RH|P|C5412	1030947	1449332	22797
RH|P|C24985	1030947	1449332	192595
RH|P|C33503	1030947	1449332	214753
RH|P|C41591	1030947	1449332	198891
RH|P|C2812	1030947	1449332	189753
RH|P|C1320	1030947	1449332	182352
RH|P|C20405	1030947	1449332	6560
RH|P|C21234	1030947	1449332	173440
RH|P|C24961	1030947	1449332	173893
RH|P|C27915	1030947	1449332	167846
RH|P|C15827	1030947	1449332	157751
RH|P|C6849	1030947	1449332	157475
RH|P|C17293	1030947	1449332	155605
RH|P|C19842	1030947	1449332	154727
RH|P|C18046	1030947	1449332	143258
RH|P|C24482	1030947	1449332	142122
RH|P|C37925	1030947	1449332	139575
RH|P|C10028	1030947	1449332	137931
RH|P|C41730	1030947	1449332	125379
RH|P|C24895	1030947	1449332	112419
RH|P|C33052	1030947	1449332	110163
RH|P|C30129	1030947	1449332	107611
RH|P|C4992	1030947	1449332	17423
RH|P|C29346	1030947	1449332	89032
RH|P|C40381	1030947	1449332	106104
RH|P|C18422	1030947	1449332	95169
RH|P|C20816	1030947	1449332	93615
RH|P|C38255	1030947	1449332	87260
RH|P|C9412	1030947	1449332	86947
RH|P|C2544	1030947	1449332	84506
RH|P|C15393	1030947	1449332	82899
RH|P|C10535	1030947	1449332	81914
RH|P|C3559	1030947	1449332	80671
RH|P|C3176	1030947	1449332	80250
RH|P|C3649	1030947	1449332	79825
RH|P|C19468	1030947	1449332	79370
RH|P|C17295	1030947	1449332	77225
RH|P|C4604	1030947	1449332	74212
RH|P|C35610	1030947	1449332	74160
RH|P|C16716	1030947	1449332	72498
RH|P|C4589	1030947	1449332	62902
RH|P|C27034	1030947	1449332	62885
RH|P|C31244	1030947	1449332	61167
RH|P|C37558	1030947	1449332	402
RH|P|C21091	1030947	1449332	60262
RH|P|C41478	1030947	1449332	55429
RH|P|C26328	1030947	1449332	51581
RH|P|C14564	1030947	1449332	49797
RH|P|C28745	1030947	1449332	44465
RH|P|C30667	1030947	1449332	41950
RH|P|C770	1030947	1449332	39299
RH|P|C23131	1030947	1449332	39013
RH|P|C2244	1030947	1449332	36408
RH|P|C20978	1030947	1449332	34912
RH|P|C13340	1030947	1449332	33658
RH|P|C10856	1030947	1449332	31778
RH|P|C31649	1030947	1449332	31456
RH|P|C28698	1030947	1449332	26691
RH|P|C12962	1030947	1449332	25877
RH|P|C26349	1030947	1449332	25061
RH|P|C24847	1030947	1449332	22767
RH|P|C16678	1030947	1449332	22535
RH|P|C22490	1030947	1449332	21667
RH|P|C33708	1030947	1449332	20083
RH|P|C21440	1030947	1449332	17791
RH|P|C2906	1030947	1449332	17162
RH|P|C24595	1030947	1449332	12016
RH|P|C16978	1030947	1449332	8110
RH|P|C27703	1030947	1449332	7957
RH|P|C39708	1030947	1449332	7779
RH|P|C10830	1030947	1449332	6914
RH|P|C19696	1030947	1449332	6901
RH|P|C17735	1030947	1449332	5660
RH|P|C26497	1030947	1449332	4410
RH|P|C5365	1030947	1449332	4364
RH|P|C26459	1030947	1449332	4252
RH|P|C1053	1030947	1449332	2423
RH|P|C1592	1030947	1449332	2327
RH|P|C9038	1030947	1449332	2278
RH|P|C15224	1030947	1449332	1914
RH|P|C16797	1030947	1449332	1144
RH|P|C29856	Sample22_22	45202	60630
RH|P|C41245	1286_CO	351343	561100
RH|P|C16053	1286_CO	351343	308
RH|P|C35263	1286_CO	351343	271011
RH|P|C23118	1286_CO	351343	1201
RH|P|C22743	1286_CO	351343	34234
RH|P|C22165	1286_CO	351343	152782
RH|P|C323	1286_CO	351343	238193
RH|P|C35932	1286_CO	351343	2488
RH|P|C27350	1286_CO	351343	1436
RH|P|C18125	1286_CO	351343	269117
RH|P|C14935	1286_CO	351343	79380
RH|P|C36336	1286_CO	351343	84871
RH|P|C34298	1286_CO	351343	85095
RH|P|C40052	1286_CO	351343	400085
RH|P|C27594	1286_CO	351343	496
RH|P|C15260	1286_CO	351343	255
RH|P|C21858	1286_CO	351343	95065
RH|P|C35470	1286_CO	351343	86175
RH|P|C1765	1286_CO	351343	104943
RH|P|C34437	1286_CO	351343	131106
RH|P|C5233	1286_CO	351343	152923
RH|P|C7689	1286_CO	351343	52923
RH|P|C13016	1286_CO	351343	155075
RH|P|C28633	1286_CO	351343	125916
RH|P|C25126	1286_CO	351343	78193
RH|P|C2280	1286_CO	351343	2625
RH|P|C31829	1286_CO	351343	5192
RH|P|C17573	1286_CO	351343	78866
RH|P|C5392	1286_CO	351343	23898
RH|P|C4165	1286_CO	351343	6368
RH|P|C15629	1286_CO	351343	22638
RH|P|C3764	1286_CO	351343	1301
RH|P|C15660	1286_CO	351343	67300
RH|P|C33046	1286_CO	351343	92980
